Date,adj close,sma_t,ema_t,mom_t,stk_t,std_t,rsi_t,macd_t,wr_t,vr_t,cci_t
1980-12-12,0.023357,0,0,0,0,0,0,0,0,0,0
1980-12-15,0.022139,0,0,0,0,0,0,0,0,0,0
1980-12-16,0.020513999999999998,0,0,0,0,0,0,0,0,0,0
1980-12-17,0.021022,0,0,0,0,0,0,0,0,0,0
1980-12-18,0.021631,0,0,0,0,0,0,0,0,0,0
1980-12-19,0.022951,0,0,0,0,0,0,0,0,0,0
1980-12-22,0.024068,0,0,0,0,0,0,0,0,0,0
1980-12-23,0.025084,0,0,0,0,0,0,0,0,0,0
1980-12-24,0.026404,0,0,0,0,0,0,0,0,0,0
1980-12-26,0.028841000000000002,0,0,0,0,0,0,0,0,0,0
1980-12-29,0.029248000000000003,1,1,0,1,1,0,1,0,1,0
1980-12-30,0.028537,1,1,0,0,1,0,1,1,1,0
1980-12-31,0.027724000000000002,1,1,0,0,1,0,1,1,1,0
1981-01-02,0.028029000000000002,1,1,1,0,1,0,1,0,0,0
1981-01-05,0.02742,1,1,0,0,0,0,0,1,0,0
1981-01-06,0.026201,1,0,0,0,0,0,0,1,0,0
1981-01-07,0.025084,1,0,1,0,0,0,0,1,0,0
1981-01-08,0.024576,0,0,1,0,0,0,0,0,0,0
1981-01-09,0.025896,0,0,1,1,0,1,0,0,0,1
1981-01-12,0.025693,0,0,0,1,0,0,0,1,0,1
1981-01-13,0.024779,0,0,0,0,0,0,0,1,0,0
1981-01-14,0.024881,0,0,1,0,0,1,0,0,1,1
1981-01-15,0.025388,0,0,1,1,0,1,0,0,1,1
1981-01-16,0.025185,0,0,0,1,1,0,0,1,0,0
1981-01-19,0.026708999999999997,0,1,1,1,1,1,1,0,1,0
1981-01-20,0.025896,0,1,0,1,1,0,1,1,1,0
1981-01-21,0.026404,1,1,1,1,1,1,1,0,1,1
1981-01-22,0.026708999999999997,1,1,0,1,1,1,1,0,1,1
1981-01-23,0.026607,1,1,0,1,1,0,1,1,0,0
1981-01-26,0.026201,1,1,0,0,1,0,0,1,0,0
1981-01-27,0.025998,1,0,1,0,0,0,0,1,0,0
1981-01-28,0.025185,1,0,0,0,0,0,0,1,0,0
1981-01-29,0.024271,0,0,0,0,0,0,0,0,0,1
1981-01-30,0.022951,0,0,0,0,0,0,0,0,0,1
1981-02-02,0.021631,0,0,0,0,0,0,0,0,0,1
1981-02-03,0.022443,0,0,1,1,0,1,0,0,1,1
1981-02-04,0.023256,0,0,0,1,0,1,0,0,1,1
1981-02-05,0.023256,0,0,0,1,1,0,0,0,0,1
1981-02-06,0.023357,0,0,1,1,1,1,1,0,1,1
1981-02-09,0.022139,0,0,0,0,0,0,0,1,1,0
1981-02-10,0.022139,0,0,1,0,0,0,0,0,1,1
1981-02-11,0.021428,0,0,0,0,0,0,0,1,1,0
1981-02-12,0.021225,0,0,1,0,0,0,0,0,1,0
1981-02-13,0.020717,0,0,0,0,0,0,0,0,1,0
1981-02-17,0.021225,0,0,1,1,0,1,0,0,1,1
1981-02-18,0.022139,0,0,1,1,1,1,1,0,1,1
1981-02-19,0.020819,0,0,0,0,1,0,0,1,0,0
1981-02-20,0.019701,0,0,1,0,0,0,0,1,0,1
1981-02-23,0.020006,0,0,1,0,0,1,0,0,1,1
1981-02-24,0.019295,0,0,0,0,0,0,0,1,0,0
1981-02-25,0.020513999999999998,0,0,1,1,1,1,1,0,1,1
1981-02-26,0.020819,0,0,0,1,1,1,1,0,1,1
1981-02-27,0.021529,1,1,1,1,1,1,1,0,1,1
1981-03-02,0.021631,1,1,0,1,1,1,1,0,1,0
1981-03-03,0.021325999999999998,1,1,0,1,1,0,1,1,0,0
1981-03-04,0.021123,0,1,1,1,1,0,1,0,0,0
1981-03-05,0.021022,1,0,1,1,1,0,1,1,1,0
1981-03-06,0.020819,1,0,0,0,1,0,1,1,1,0
1981-03-09,0.019194,0,0,0,0,0,0,0,1,0,1
1981-03-10,0.01828,0,0,1,0,0,0,0,0,0,1
1981-03-11,0.017569,0,0,1,0,0,1,0,0,0,1
1981-03-12,0.01828,0,0,1,0,0,1,0,0,1,1
1981-03-13,0.018077,0,0,0,0,0,0,0,1,0,1
1981-03-16,0.018787,0,0,1,1,0,1,1,0,1,1
1981-03-17,0.019701,0,1,1,1,1,1,1,0,1,1
